bill_name,status,house_bill_number,house_sponsors,Senate Bill Number,Senate Sponsor(s),Policy Pillar,Policy Recommendation 1,Policy Recommendation 2,Bill Summary
Mining Schools Act of 2023,Endorsed,,,S.912,"Sen. Barrasso (R-WY), Sen. Manchin (D-WV)",Domestic Critical Mineral Development,Battery - Promote funding for workforce development,"Reduce barriers in the permitting process while maintaining high environmental, social, and governance standards",This bill requires the Secretary of Energy to provide technology grants to strengthen domestic mining education. The grant program awards competitive funding to mining schools for the purpose of recruiting and educating the next generation of mining engineers and other qualified professionals to meet the future energy and mineral needs of the United States.
Mining Regulatory Clarity Act of 2023,Endorsed,,,S.1281,"Sen. Cortez Masto (D-NV), Sen. Risch (R-ID) ",Domestic Critical Mineral Development,Battery - Promote funding for workforce development,"Reduce barriers in the permitting process while maintaining high environmental, social, and governance standards","Bill amends the Omnibus Budget Reconciliation Act of 1993, pertaining to the Mining Law, to address the Rosemont Decision, which requires mining plans to include only public lands proved to contain economically-valuable minerals, even if those lands are planned to be used for mining-support activities such as waste or processing sites."
"Modern, Clean, and Safe Trucks Act of 2023",Endorsed,HR. 1440,"Rep. LaMalfa (R-CA-1), Rep. Pappas (D-NH-1), Rep. LaHood (R-IL-16), Rep. Blumenauer (D-OR-3)",,,EV Market Development,Repeal the Federal Excise Tax for zero-emission vehicles,,This bill repeals the 12% excise tax on the retail sale of heavy trucks and trailers.
Rare Earth Magnet Manufacturing Production Tax Credit Act of 2023,Endorsed,HR. 2849,"Rep. Reschenthaler (R-PA-14), Rep. Swalwell (D-CA-14)",,,American EV and Battery Manufacturing,,,"This bill provides a new tax credit for the domestic production of rare earth magnets. The magnets must be manufactured or produced in the ordinary course of the taxpayer's trade or business, and the credit is disallowed if any rare earth material component used to produce such magnets is produced in a non-allied foreign nation."
CARS Act,Endorsed,HR. 2948,"Rep. Gooden (R-TX-5), Rep. Mast (R-FL-21)",,,EV Market Development,,,"The bill states that a State may not prohibit the operation of stinger-steered combination automobile transporters with gross weight of 88,000 pounds or less on any segment of the Interstate System and certain qualifying Federal-aid primary highways."
Protecting Circuit Boards and Substrates Act of 2023,Endorsed,HR. 3249,"Rep. Moore (R-UT-1), Rep. Eshoo (D-CA-18)  ",,,American EV and Battery Manufacturing,Ensure a robust supply chain to support the manufacturing/deployment of charging infrastructure,,"This bill provides incentives to bolster domestic printed circuit board (PCB) manufacturing, research, and development to reduce supply chain disruptions, address national security concerns related to foreign PCB production, and enhance America's economic leadership."
Patent Eligibility Restoration Act of 2032,Endorsed,S.2140,"Sen. Thom Tillis (R-NC) , Sen. Chris Coons (D-DE)",S. 2140,,American EV and Battery Manufacturing,,,"This legislation eliminates all judicial exceptions to patent eligibility and states that patent eligibility should be determined without consideration of Sections 102, 203 or 112."
Mining Schools Act of 2023,Of Interest,,,S.912,"Sen. Barrasso (R-WY), Sen. Manchin (D-WV)",Domestic Critical Mineral Development,Battery - Promote funding for workforce development,"Reduce barriers in the permitting process while maintaining high environmental, social, and governance standards",This bill requires the Secretary of Energy to provide technology grants to strengthen domestic mining education. The grant program awards competitive funding to mining schools for the purpose of recruiting and educating the next generation of mining engineers and other qualified professionals to meet the future energy and mineral needs of the United States.
Mining Regulatory Clarity Act of 2023,Of Interest,,,S.1281,"Sen. Cortez Masto (D-NV), Sen. Risch (R-ID) ",Domestic Critical Mineral Development,Battery - Promote funding for workforce development,"Reduce barriers in the permitting process while maintaining high environmental, social, and governance standards","Bill amends the Omnibus Budget Reconciliation Act of 1993, pertaining to the Mining Law, to address the Rosemont Decision, which requires mining plans to include only public lands proved to contain economically-valuable minerals, even if those lands are planned to be used for mining-support activities such as waste or processing sites."
"Modern, Clean, and Safe Trucks Act of 2023",Of Interest,HR. 1440,"Rep. LaMalfa (R-CA-1), Rep. Pappas (D-NH-1), Rep. LaHood (R-IL-16), Rep. Blumenauer (D-OR-3)",,,EV Market Development,Repeal the Federal Excise Tax for zero-emission vehicles,,This bill repeals the 12% excise tax on the retail sale of heavy trucks and trailers.
Rare Earth Magnet Manufacturing Production Tax Credit Act of 2023,Of Interest,HR. 2849,"Rep. Reschenthaler (R-PA-14), Rep. Swalwell (D-CA-14)",,,American EV and Battery Manufacturing,,,"This bill provides a new tax credit for the domestic production of rare earth magnets. The magnets must be manufactured or produced in the ordinary course of the taxpayer's trade or business, and the credit is disallowed if any rare earth material component used to produce such magnets is produced in a non-allied foreign nation."
CARS Act,Of Interest,HR. 2948,"Rep. Gooden (R-TX-5), Rep. Mast (R-FL-21)",,,EV Market Development,,,"The bill states that a State may not prohibit the operation of stinger-steered combination automobile transporters with gross weight of 88,000 pounds or less on any segment of the Interstate System and certain qualifying Federal-aid primary highways."
Protecting Circuit Boards and Substrates Act of 2023,Of Interest,HR. 3249,"Rep. Moore (R-UT-1), Rep. Eshoo (D-CA-18)  ",,,American EV and Battery Manufacturing,Ensure a robust supply chain to support the manufacturing/deployment of charging infrastructure,,"This bill provides incentives to bolster domestic printed circuit board (PCB) manufacturing, research, and development to reduce supply chain disruptions, address national security concerns related to foreign PCB production, and enhance America's economic leadership."
Patent Eligibility Restoration Act of 2032,Of Interest,S.2140,"Sen. Thom Tillis (R-NC) , Sen. Chris Coons (D-DE)",S. 2140,,American EV and Battery Manufacturing,,,"This legislation eliminates all judicial exceptions to patent eligibility and states that patent eligibility should be determined without consideration of Sections 102, 203 or 112."
