bill_name,congressgov_link,status,bill_number,chamber,house_sponsors,senate_sponsor,bill_summary,policy_pillar
Mining Schools Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/912,Endorsed,S.912,Senate,,"Sen. Barrasso (R-WY), Sen. Manchin (D-WV)","This bill requires the Department of Energy (DOE) to establish a grant program to support domestic mining education. Under the program, DOE must award up to 10 grants each year to mining schools for recruiting and educating mining engineers.",Domestic Critical Mineral Development
Mining Regulatory Clarity Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/1281,Endorsed,S.1281,Senate,,"Sen. Cortez Masto (D-NV), Sen. Risch (R-ID) ","This bill sets forth a process to allow mine operations to use, occupy, and conduct operations (e.g., construction of roads and other mining infrastructure activity) on public land regardless of whether a mineral deposit has been discovered on the land.",Domestic Critical Mineral Development
"Modern, Clean, and Safe Trucks Act of 2023",https://www.congress.gov/bill/118th-congress/house-bill/1440,Endorsed,HR. 1440,House,"Rep. LaMalfa (R-CA-1), Rep. Pappas (D-NH-1), Rep. LaHood (R-IL-16), Rep. Blumenauer (D-OR-3)",,This bill repeals the 12% excise tax on the retail sale of heavy trucks and trailers.,EV Market Development
Rare Earth Magnet Manufacturing Production Tax Credit Act of 2023,https://www.congress.gov/bill/118th-congress/house-bill/2849,Endorsed,HR. 2849,House,"Rep. Reschenthaler (R-PA-14), Rep. Swalwell (D-CA-14)",,This bill allows a new tax credit for the domestic production of rare earth magnets. The magnets must be manufactured or produced in the ordinary course of the taxpayer's trade or business. The credit is disallowed if any component rare earth material used to produce such magnets is produced in a non-allied foreign nation.,American EV and Battery Manufacturing
CARS Act,https://www.congress.gov/bill/118th-congress/house-bill/2948,Endorsed,HR. 2948,House,"Rep. Gooden (R-TX-5), Rep. Mast (R-FL-21)",,"The bill states that a State may not prohibit the operation of stinger-steered combination automobile transporters with gross weight of 88,000 pounds or less on any segment of the Interstate System and certain qualifying Federal-aid primary highways.",EV Market Development
Protecting Circuit Boards and Substrates Act of 2023,https://www.congress.gov/bill/118th-congress/house-bill/3249,Endorsed,HR. 3249,House,"Rep. Moore (R-UT-1), Rep. Eshoo (D-CA-18)  ",,"The bill states that a State may not prohibit the operation of stinger-steered combination automobile transporters with gross weight of 88,000 pounds or less on any segment of the Interstate System and certain qualifying Federal-aid primary highways.",American EV and Battery Manufacturing
Patent Eligibility Restoration Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/2140,Endorsed,S.2140,Senate,,"Sen. Thom Tillis (R-NC) , Sen. Chris Coons (D-DE)","This legislation eliminates all judicial exceptions to patent eligibility and states that patent eligibility should be determined without consideration of Sections 102, 203 or 112.",American EV and Battery Manufacturing
ONSHORE (Obtaining National and Secure Homeland Operations for Rare Earth Manufacturing Act of 2023 ,https://www.congress.gov/bill/118th-congress/senate-bill/44?q=%7B%22search%22%3A%22Obtaining+National+and+Secure+Homeland+Operations+for+Rare+Earth+Manufacturing+Act+of+2023%22%7D&s=8&r=2,Of Interest,S.44,Senate,,Sen. Marco Rubio (R-FL),"A bill to require the Secretary of Energy to establish a program to incentivize investment in facilities that carry out the metallurgy of rare earth elements and the production of finished rare earth products, and for other purposes.",Domestic Critical Mineral Development
Wireless EV Charging Grant Program ,https://www.congress.gov/bill/118th-congress/house-bill/4636?s=1&r=1,Of Interest,H.R. 4636,House,,"Rep. Haley Stevens (D-MI-11), Rep. Dina Titus (D-NV-1), et al","To direct the Secretary of Transportation to establish a Wireless Electric Vehicle Charging Grant Program, and for other purposes.",EV Charging Infrastructure Deployment
Build It in America Act,https://www.congress.gov/bill/118th-congress/house-bill/3938,Of Interest,H.R. 3938,House,,Rep. Jason Smith (R-MO-8),"Among other things, The bill would leave intact some of the green energy tax credits under the IRA, but would repeal its clean electricity production and investment credits that go into effect in 2025 and would modify the electric vehicles tax credit, including its domestic sourcing requirements. ",EV Market Development
